Date,Open,High,Low,Close,Volume
03/15/2024,"160.00","181.50","157.00","178.24","44,749,940"
03/14/2024,"170.80","174.60","155.08","167.69","49,867,590"
03/13/2024,"166.00","177.40","162.00","176.62","37,759,450"
03/12/2024,"154.40","159.50","143.80","159.34","35,488,650"
03/11/2024,"155.00","165.71","147.74","148.42","41,024,230"
03/08/2024,"132.80","145.17","128.37","142.56","37,417,740"
03/07/2024,"128.50","132.10","122.50","130.00","21,677,160"
03/06/2024,"114.00","128.56","113.11","124.62","36,939,990"
03/05/2024,"124.42","133.78","103.51","105.10","57,366,279"
03/04/2024,"120.00","135.99","119.00","133.40","54,249,889"
03/01/2024,"99.60","108.00","99.20","107.94","26,964,360"
02/29/2024,"99.90","104.00","96.04","102.28","35,206,030"
02/28/2024,"95.20","100.89","91.55","96.30","48,388,190"
02/27/2024,"86.61","89.00","84.18","87.18","22,747,610"
02/26/2024,"68.79","80.99","68.79","79.65","22,695,290"
02/23/2024,"69.90","70.43","67.81","68.74","7,392,840"
02/22/2024,"68.37","72.32","68.00","71.32","10,425,120"
02/21/2024,"68.43","68.54","66.43","67.28","7,033,060"
02/20/2024,"71.08","72.20","67.03","70.50","9,680,050"
02/16/2024,"73.50","74.00","68.94","69.96","13,407,110"
02/15/2024,"79.24","80.68","70.75","71.80","23,827,690"
02/14/2024,"74.60","77.48","73.42","76.99","20,704,740"
02/13/2024,"67.50","70.12","65.56","68.60","13,914,530"
02/12/2024,"65.20","72.53","65.02","71.75","23,099,730"
02/09/2024,"62.74","64.89","61.41","64.63","24,684,570"
02/08/2024,"53.00","58.85","52.51","58.78","22,631,100"
02/07/2024,"49.95","50.86","46.75","50.80","10,997,480"
02/06/2024,"49.33","50.92","49.31","49.80","6,898,740"
02/05/2024,"50.20","50.35","48.20","49.06","8,599,300"
02/02/2024,"49.73","50.90","49.10","50.01","6,098,000"
02/01/2024,"50.18","51.51","49.60","50.35","6,280,830"
01/31/2024,"50.80","52.79","49.94","50.12","9,379,630"
01/30/2024,"51.70","52.58","50.76","51.95","7,388,130"
01/29/2024,"50.00","52.50","49.02","51.38","13,648,890"
01/26/2024,"47.00","50.10","46.48","49.45","14,660,400"
01/25/2024,"45.23","46.40","44.59","45.78","6,608,460"
01/24/2024,"46.00","46.20","44.51","45.10","8,232,670"
01/23/2024,"45.00","45.98","43.87","45.02","11,716,070"
01/22/2024,"46.80","48.40","45.54","47.02","11,431,450"
01/19/2024,"48.45","48.72","46.50","48.10","11,771,730"
01/18/2024,"50.00","52.20","47.79","48.66","16,604,920"
01/17/2024,"47.42","49.91","47.42","49.90","9,765,870"
01/16/2024,"47.90","48.95","46.70","48.21","16,453,490"
01/12/2024,"52.50","52.59","48.10","48.55","27,402,780"
01/11/2024,"59.90","61.10","53.03","53.62","25,703,910"
01/10/2024,"56.67","58.70","55.38","56.57","16,409,460"
01/09/2024,"60.00","60.28","57.13","57.73","14,346,430"
01/08/2024,"64.00","64.69","58.65","59.80","25,142,550"
01/05/2024,"64.87","65.40","63.00","63.11","9,323,070"
01/04/2024,"63.86","66.80","62.85","65.58","11,192,720"
01/03/2024,"64.32","65.86","62.53","63.11","18,805,690"
01/02/2024,"69.25","72.78","68.00","68.52","22,074,410"
