Date,Open,High,Low,Close,Volume
07/22/2024,"28.93","28.97","27.69","28.46","38,037,809"
07/19/2024,"28.31","29.60","28.27","28.58","49,581,641"
07/18/2024,"28.42","29.83","28.15","28.64","76,485,562"
07/17/2024,"28.00","28.87","27.60","28.22","45,203,461"
07/16/2024,"28.18","28.84","27.47","28.67","59,330,680"
07/15/2024,"28.42","29.30","27.90","28.67","49,186,352"
07/12/2024,"27.32","28.13","27.28","28.07","30,760,270"
07/11/2024,"28.49","28.59","26.90","27.64","61,546,059"
07/10/2024,"27.50","28.47","27.37","28.42","43,231,031"
07/09/2024,"27.93","28.38","27.23","27.39","53,226,527"
07/08/2024,"27.93","27.99","26.84","27.70","59,611,160"
07/05/2024,"26.00","27.25","25.98","27.23","46,703,727"
07/03/2024,"25.96","26.27","25.76","25.85","18,433,840"
07/02/2024,"25.84","26.43","25.75","25.83","32,148,240"
07/01/2024,"25.48","26.02","25.14","25.88","33,167,922"
06/28/2024,"25.28","25.57","25.03","25.33","38,886,441"
06/27/2024,"24.10","25.40","24.05","25.22","37,882,859"
06/26/2024,"24.47","24.66","24.03","24.10","24,331,381"
06/25/2024,"24.16","24.63","23.92","24.56","29,657,250"
06/24/2024,"23.44","24.39","23.30","24.16","36,477,406"
06/21/2024,"24.71","26.09","23.53","23.84","69,981,586"
06/20/2024,"26.44","26.57","25.16","25.56","66,734,961"
06/18/2024,"25.15","26.03","24.83","25.82","54,458,578"
06/17/2024,"23.47","25.06","23.45","25.02","54,101,500"
06/14/2024,"23.15","23.72","22.84","23.57","26,618,279"
06/13/2024,"23.85","24.14","23.15","23.27","26,035,051"
06/12/2024,"24.20","24.33","23.57","23.77","38,542,719"
06/11/2024,"23.06","23.95","22.89","23.85","30,601,850"
06/10/2024,"22.75","23.16","22.66","23.13","31,509,279"
06/07/2024,"23.24","23.57","23.06","23.31","37,149,879"
06/06/2024,"22.98","23.95","22.98","23.79","60,400,367"
06/05/2024,"22.48","22.98","22.22","22.96","39,825,391"
06/04/2024,"21.05","22.26","21.04","22.10","41,974,047"
06/03/2024,"21.70","21.79","21.01","21.32","33,876,070"
05/31/2024,"21.79","22.20","21.31","21.68","44,416,070"
05/30/2024,"21.28","21.96","21.02","21.73","47,583,129"
05/29/2024,"20.77","20.99","20.64","20.94","24,834,240"
05/28/2024,"21.06","21.22","20.73","21.05","26,274,189"
05/24/2024,"20.72","21.15","20.65","21.01","22,158,711"
05/23/2024,"21.39","21.52","20.63","20.72","36,887,633"
05/22/2024,"21.23","21.42","21.08","21.17","25,212,471"
05/21/2024,"21.34","21.45","21.12","21.24","27,953,961"
05/20/2024,"21.77","21.77","21.22","21.62","35,255,262"
05/17/2024,"21.78","22.17","21.56","21.76","30,032,250"
05/16/2024,"21.74","21.87","21.54","21.65","27,416,680"
05/15/2024,"21.73","21.81","21.19","21.67","39,424,031"
05/14/2024,"20.95","22.07","20.93","21.44","57,894,352"
05/13/2024,"20.60","21.19","20.60","20.94","37,524,809"
05/10/2024,"21.27","21.37","20.50","20.60","59,845,406"
05/09/2024,"21.49","21.58","20.94","21.14","54,101,941"
05/08/2024,"21.58","21.73","21.06","21.56","67,582,883"
05/07/2024,"21.99","22.70","21.35","21.40","161,061,594"
05/06/2024,"24.37","25.36","24.03","25.21","175,936,609"
05/03/2024,"23.48","23.64","22.91","23.33","55,976,406"
05/02/2024,"22.60","22.72","22.10","22.55","30,396,131"
05/01/2024,"21.93","22.83","21.63","22.12","34,812,848"
04/30/2024,"22.77","22.87","21.95","21.97","30,511,881"
04/29/2024,"22.75","23.09","22.55","22.83","30,330,699"
04/26/2024,"22.05","22.67","21.91","22.52","33,119,770"
04/25/2024,"20.82","21.74","20.66","21.71","26,226,711"
04/24/2024,"22.05","22.25","21.30","21.59","34,426,480"
04/23/2024,"21.25","22.06","21.23","21.64","36,304,633"
04/22/2024,"20.72","21.08","20.36","20.97","31,894,520"
04/19/2024,"20.98","21.43","20.33","20.47","39,632,594"
04/18/2024,"21.25","21.43","20.70","21.13","34,550,539"
04/17/2024,"22.01","22.11","21.22","21.31","30,139,801"
04/16/2024,"21.59","21.99","21.27","21.88","33,869,199"
04/15/2024,"22.79","23.13","21.83","21.90","38,182,078"
